 M(1) = 0 S = 0 powers of k:  1
 M(172) = 9 S = 1312 powers of k:  1 2 3 5 10 20 23 43 86 172
 M(173) = 10 S = 1322 powers of k:  1 2 3 5 7 14 21 42 84 89 173
 M(174) = 10 S = 1332 powers of k:  1 2 3 4 7 10 20 40 47 87 174
 M(175) = 10 S = 1342 powers of k:  1 2 3 4 7 14 21 35 70 105 175
 M(176) = 9 S = 1351 powers of k:  1 2 3 4 7 11 22 44 88 176
 M(177) = 10 S = 1361 powers of k:  1 2 3 4 7 11 22 44 88 89 177
 M(178) = 10 S = 1371 powers of k:  1 2 3 4 7 11 22 44 45 89 178
 M(179) = 10 S = 1381 powers of k:  1 2 3 4 7 11 22 44 88 91 179
 M(180) = 9 S = 1390 powers of k:  1 2 3 5 10 15 30 45 90 180
 M(181) = 10 S = 1400 powers of k:  1 2 3 5 6 11 22 44 88 93 181
 M(182) = 10 S = 1410 powers of k:  1 2 3 4 7 11 22 44 47 91 182
 M(183) = 10 S = 1420 powers of k:  1 2 3 4 7 11 22 44 88 95 183
 M(184) = 9 S = 1429 powers of k:  1 2 3 5 10 13 23 46 92 184
 M(185) = 10 S = 1439 powers of k:  1 2 3 5 8 16 21 37 74 111 185
 M(186) = 10 S = 1449 powers of k:  1 2 3 4 7 14 17 31 62 93 186
 M(187) = 10 S = 1459 powers of k:  1 2 3 4 7 11 22 44 88 99 187
 M(188) = 10 S = 1469 powers of k:  1 2 3 4 7 10 20 27 47 94 188
 M(189) = 10 S = 1479 powers of k:  1 2 3 4 7 14 21 42 63 126 189
 M(190) = 10 S = 1489 powers of k:  1 2 3 4 7 11 22 44 51 95 190
 M(191) = 11 S = 1500 powers of k:  1 2 3 4 7 8 15 22 44 88 103 191
 M(192) = 8 S = 1508 powers of k:  1 2 3 6 12 24 48 96 192
 M(193) = 9 S = 1517 powers of k:  1 2 3 6 12 24 48 96 97 193
 M(194) = 9 S = 1526 powers of k:  1 2 3 6 12 24 48 49 97 194
 M(195) = 9 S = 1535 powers of k:  1 2 3 6 12 24 48 96 99 195
 M(196) = 9 S = 1544 powers of k:  1 2 3 6 12 24 25 49 98 196
 M(197) = 10 S = 1554 powers of k:  1 2 3 5 6 12 24 48 96 101 197
 M(198) = 9 S = 1563 powers of k:  1 2 3 6 12 24 48 51 99 198
 M(199) = 10 S = 1573 powers of k:  1 2 3 5 7 12 24 48 96 103 199
 M(200) = 9 S = 1582 powers of k:  1 2 3 5 10 15 25 50 100 200
Execution time    = 3.85087 s
